date;time;event;platform;ad_id;ad_cost_type;ad_cost
01.04.2019;01.04.2019 00:00;view;web;121288;CPM;187.4
01.04.2019;01.04.2019 00:04;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 00:07;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:07;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:08;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 00:09;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:14;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:20;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:37;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:38;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 00:41;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 00:43;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 00:50;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 00:54;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 01:53;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 02:05;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 02:36;view;web;121288;CPM;187.4
01.04.2019;01.04.2019 03:38;view;web;121288;CPM;187.4
01.04.2019;01.04.2019 03:42;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 04:05;view;web;121288;CPM;187.4
01.04.2019;01.04.2019 04:09;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 04:28;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 04:55;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 04:57;view;android;121288;CPM;187.4
01.04.2019;01.04.2019 04:57;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 05:15;view;web;121288;CPM;187.4
01.04.2019;01.04.2019 05:18;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 05:18;view;ios;121288;CPM;187.4
01.04.2019;01.04.2019 05:21;view;android;121288;CPM;187.4
